 schemaname |           tablename            | rowsecurity 
------------+--------------------------------+-------------
 outbox     | dead_letters                   | t
 outbox     | events                         | t
 public     | abuse_reports                  | t
 public     | accessibility_preferences      | t
 public     | admin_actions                  | t
 public     | admin_audit_logs               | t
 public     | admin_events                   | t
 public     | admin_permissions              | t
 public     | admin_role_permissions         | t
 public     | admin_roles                    | t
 public     | admin_users                    | t
 public     | app_config                     | t
 public     | app_events                     | t
 public     | app_store_assets               | t
 public     | audit_logs                     | t
 public     | auth_identities                | t
 public     | auth_refresh_tokens            | t
 public     | auth_sessions                  | t
 public     | blog_posts                     | t
 public     | chat_events                    | t
 public     | child_profiles                 | t
 public     | contact_messages               | t
 public     | content_moderation_queue       | t
 public     | content_reports                | t
 public     | device_tokens                  | t
 public     | entitlements                   | t
 public     | family_profiles                | t
 public     | faq_items                      | t
 public     | feature_flags                  | t
 public     | iman_family_reminder_settings  | t
 public     | iman_journey_daily             | t
 public     | iman_journey_evidence_bundles  | t
 public     | iman_journey_privacy_settings  | t
 public     | iman_personal_dua_list         | t
 public     | invoices                       | t
 public     | landing_feature_cards          | t
 public     | landing_sections               | t
 public     | language_preferences           | t
 public     | legal_pages                    | t
 public     | maintenance_windows            | t
 public     | module_status                  | t
 public     | notification_delivery_attempts | t
 public     | notification_preferences       | t
 public     | notification_templates         | t
 public     | password_credentials           | t
 public     | payment_customers              | t
 public     | payment_methods                | t
 public     | payment_providers              | t
 public     | payment_transactions           | t
 public     | privacy_preferences            | t
 public     | profile_preferences            | t
 public     | rag_events                     | t
 public     | refunds                        | t
 public     | release_flags                  | t
 public     | reminder_settings              | t
 public     | scholar_accounts               | t
 public     | scholar_review_assignments     | t
 public     | security_logs                  | t
 public     | seo_metadata                   | t
 public     | seo_pages                      | t
 public     | source_approval_queue          | t
 public     | subscription_events            | t
 public     | subscription_plans             | t
 public     | support_ticket_messages        | t
 public     | support_tickets                | t
 public     | user_bookmarks                 | t
 public     | user_chat_feedback             | t
 public     | user_dashboard_widgets         | t
 public     | user_dua_favourites            | t
 public     | user_entitlements              | t
 public     | user_learning_progress         | t
 public     | user_notifications             | t
 public     | user_profiles                  | t
 public     | user_quran_progress            | t
 public     | user_reported_answers          | t
 public     | user_saved_answers             | t
 public     | user_subscriptions             | t
 public     | users                          | t
 public     | waitlist_entries               | t
 sakina_ai  | agent_feedback                 | t
 sakina_ai  | brain_cache_metadata           | t
 sakina_ai  | brain_decision_traces          | t
 sakina_ai  | brain_evaluation_results       | t
 sakina_ai  | brain_memory_events            | t
 sakina_ai  | citation_verification_events   | t
 sakina_ai  | conversations                  | t
 sakina_ai  | entitlement_decisions          | t
 sakina_ai  | islamic_api_sync_items         | t
 sakina_ai  | islamic_api_sync_jobs          | t
 sakina_ai  | islamic_chunks                 | t
 sakina_ai  | islamic_documents              | t
 sakina_ai  | islamic_embeddings             | t
 sakina_ai  | islamic_source_licences        | t
 sakina_ai  | islamic_source_providers       | t
 sakina_ai  | islamic_source_reviews         | t
 sakina_ai  | islamic_sources                | t
 sakina_ai  | knowledge_graph_edges          | t
 sakina_ai  | knowledge_graph_entities       | t
 sakina_ai  | mastermind_decisions           | t
 sakina_ai  | messages                       | t
 sakina_ai  | multimodal_assets              | t
 sakina_ai  | rag_retrieval_audit            | t
 sakina_ai  | safety_classifications         | t
 sakina_ai  | scholar_review_queue           | t
 sakina_ai  | user_memory_entries            | t
 sakina_ai  | waitlist                       | t
 sakina_ai  | wasm_verification_events       | t
(107 rows)

