 schemaname |           tablename            |                      policyname                      | permissive |  roles   |  cmd   |                                                          qual                                                           |                                                       with_check                                                        
------------+--------------------------------+------------------------------------------------------+------------+----------+--------+-------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------
 outbox     | dead_letters                   | rls_outbox_dead_letters_service                      | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 outbox     | events                         | rls_outbox_events_service                            | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | abuse_reports                  | rls_public_abuse_reports_service                     | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | accessibility_preferences      | rls_public_accessibility_preferences_service         | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | accessibility_preferences      | rls_public_accessibility_preferences_user_id         | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | admin_actions                  | rls_public_admin_actions_service                     | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | admin_audit_logs               | rls_public_admin_audit_logs_service                  | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | admin_events                   | rls_public_admin_events_service                      | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | admin_permissions              | rls_public_admin_permissions_service                 | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | admin_role_permissions         | rls_public_admin_role_permissions_service            | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | admin_roles                    | rls_public_admin_roles_service                       | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | admin_users                    | rls_public_admin_users_service                       | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | admin_users                    | rls_public_admin_users_user_id                       | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | app_config                     | rls_public_app_config_read                           | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 public     | app_config                     | rls_public_app_config_service                        | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | app_events                     | rls_public_app_events_service                        | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | app_events                     | rls_public_app_events_user_id                        | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | app_store_assets               | rls_public_app_store_assets_read                     | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 public     | app_store_assets               | rls_public_app_store_assets_service                  | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | audit_logs                     | rls_public_audit_logs_service                        | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | auth_identities                | rls_public_auth_identities_service                   | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | auth_identities                | rls_public_auth_identities_user_id                   | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | auth_refresh_tokens            | rls_public_auth_refresh_tokens_service               | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
