NAME                     STATUS   AGE
aia-dev                  Active   10d
aia-dev-monitoring       Active   10d
aia-dev-security         Active   10d
aia-dev-storage          Active   10d
ayosh                    Active   4d16h
ayosh-prod               Active   4d16h
cert-manager             Active   8d
default                  Active   10d
hermes-ai                Active   7d10h
hermes-data              Active   7d10h
hermes-monitoring        Active   7d10h
hermes-observability     Active   5d16h
hermes-prod              Active   7d10h
hermes-security          Active   7d10h
ingress-nginx            Active   4d7h
iterlaw-ai               Active   3d14h
iterlaw-api              Active   18h
iterlaw-monitoring       Active   18h
iterlaw-rag              Active   18h
iterlaw-security         Active   18h
jzi-prod                 Active   4d8h
kite-system              Active   6d2h
kube-node-lease          Active   10d
kube-public              Active   10d
kube-system              Active   10d
lawapp-ai                Active   2d20h
lawapp-api               Active   2d20h
lawapp-monitoring        Active   2d20h
lawapp-rag               Active   2d20h
lawapp-security          Active   2d20h
local-path-storage       Active   10d
ns-agent-admin-bot       Active   6d9h
ns-agent-ayosh           Active   5d16h
ns-agent-forensics-bot   Active   6d12h
ns-agent-jordan-bot      Active   6d2h
ns-agent-legal-bot       Active   5d16h
ns-agent-manager         Active   6d4h
ns-agent-palestine       Active   6d2h
ns-agent-palestine-bot   Active   6d1h
ns-agent-prof-urszula    Active   5d16h
ns-agent-research-bot    Active   6d10h
ns-agent-test-bot        Active   6d4h
ns-app-hermes            Active   6d12h
observability            Active   6d11h
openclaw                 Active   9d
openclaw-ai              Active   10d
opencode                 Active   9d
ordinox-agent-runtime    Active   4d5h
ordinox-edge             Active   4d7h
ordinox-logging          Active   6d13h
ordinox-monitoring       Active   6d13h
ordinox-terminal         Active   2d21h
ordinoxai-edge           Active   10d
ordinoxai-factory        Active   4d5h
ordinoxai-factory-dev    Active   4d
ordinoxai-prod           Active   10d
sakina                   Active   4d5h
sakina-api               Active   39h
sakina-audit             Active   39h
sakina-core              Active   39h
sakina-data              Active   39h
sakina-dev               Active   10d
sakina-ingress           Active   10d
sakina-mobile-staging    Active   3d14h
sakina-monitoring        Active   10d
sakina-prod              Active   10d
sakina-security          Active   10d
sakina-staging           Active   10d
supabase                 Active   10d
