                                List of relations
       Schema       |              Name              |    Type     |    Owner    
--------------------+--------------------------------+-------------+-------------
 information_schema | sql_features                   | table       | sakina_user
 information_schema | sql_implementation_info        | table       | sakina_user
 information_schema | sql_parts                      | table       | sakina_user
 information_schema | sql_sizing                     | table       | sakina_user
 outbox             | dead_letters                   | table       | sakina_user
 outbox             | events                         | table       | sakina_user
 pg_catalog         | pg_aggregate                   | table       | sakina_user
 pg_catalog         | pg_am                          | table       | sakina_user
 pg_catalog         | pg_amop                        | table       | sakina_user
 pg_catalog         | pg_amproc                      | table       | sakina_user
 pg_catalog         | pg_attrdef                     | table       | sakina_user
 pg_catalog         | pg_attribute                   | table       | sakina_user
 pg_catalog         | pg_auth_members                | table       | sakina_user
 pg_catalog         | pg_authid                      | table       | sakina_user
 pg_catalog         | pg_cast                        | table       | sakina_user
 pg_catalog         | pg_class                       | table       | sakina_user
 pg_catalog         | pg_collation                   | table       | sakina_user
 pg_catalog         | pg_constraint                  | table       | sakina_user
 pg_catalog         | pg_conversion                  | table       | sakina_user
 pg_catalog         | pg_database                    | table       | sakina_user
 pg_catalog         | pg_db_role_setting             | table       | sakina_user
 pg_catalog         | pg_default_acl                 | table       | sakina_user
 pg_catalog         | pg_depend                      | table       | sakina_user
 pg_catalog         | pg_description                 | table       | sakina_user
 pg_catalog         | pg_enum                        | table       | sakina_user
 pg_catalog         | pg_event_trigger               | table       | sakina_user
 pg_catalog         | pg_extension                   | table       | sakina_user
 pg_catalog         | pg_foreign_data_wrapper        | table       | sakina_user
 pg_catalog         | pg_foreign_server              | table       | sakina_user
 pg_catalog         | pg_foreign_table               | table       | sakina_user
 pg_catalog         | pg_index                       | table       | sakina_user
 pg_catalog         | pg_inherits                    | table       | sakina_user
 pg_catalog         | pg_init_privs                  | table       | sakina_user
 pg_catalog         | pg_language                    | table       | sakina_user
 pg_catalog         | pg_largeobject                 | table       | sakina_user
 pg_catalog         | pg_largeobject_metadata        | table       | sakina_user
 pg_catalog         | pg_namespace                   | table       | sakina_user
 pg_catalog         | pg_opclass                     | table       | sakina_user
 pg_catalog         | pg_operator                    | table       | sakina_user
 pg_catalog         | pg_opfamily                    | table       | sakina_user
 pg_catalog         | pg_parameter_acl               | table       | sakina_user
 pg_catalog         | pg_partitioned_table           | table       | sakina_user
 pg_catalog         | pg_policy                      | table       | sakina_user
 pg_catalog         | pg_proc                        | table       | sakina_user
 pg_catalog         | pg_publication                 | table       | sakina_user
 pg_catalog         | pg_publication_namespace       | table       | sakina_user
 pg_catalog         | pg_publication_rel             | table       | sakina_user
 pg_catalog         | pg_range                       | table       | sakina_user
 pg_catalog         | pg_replication_origin          | table       | sakina_user
 pg_catalog         | pg_rewrite                     | table       | sakina_user
 pg_catalog         | pg_seclabel                    | table       | sakina_user
 pg_catalog         | pg_sequence                    | table       | sakina_user
 pg_catalog         | pg_shdepend                    | table       | sakina_user
 pg_catalog         | pg_shdescription               | table       | sakina_user
 pg_catalog         | pg_shseclabel                  | table       | sakina_user
 pg_catalog         | pg_statistic                   | table       | sakina_user
 pg_catalog         | pg_statistic_ext               | table       | sakina_user
 pg_catalog         | pg_statistic_ext_data          | table       | sakina_user
 pg_catalog         | pg_subscription                | table       | sakina_user
 pg_catalog         | pg_subscription_rel            | table       | sakina_user
 pg_catalog         | pg_tablespace                  | table       | sakina_user
 pg_catalog         | pg_transform                   | table       | sakina_user
 pg_catalog         | pg_trigger                     | table       | sakina_user
 pg_catalog         | pg_ts_config                   | table       | sakina_user
 pg_catalog         | pg_ts_config_map               | table       | sakina_user
 pg_catalog         | pg_ts_dict                     | table       | sakina_user
 pg_catalog         | pg_ts_parser                   | table       | sakina_user
 pg_catalog         | pg_ts_template                 | table       | sakina_user
 pg_catalog         | pg_type                        | table       | sakina_user
 pg_catalog         | pg_user_mapping                | table       | sakina_user
 pg_toast           | pg_toast_1213                  | TOAST table | sakina_user
 pg_toast           | pg_toast_1247                  | TOAST table | sakina_user
 pg_toast           | pg_toast_1255                  | TOAST table | sakina_user
 pg_toast           | pg_toast_1260                  | TOAST table | sakina_user
 pg_toast           | pg_toast_1262                  | TOAST table | sakina_user
 pg_toast           | pg_toast_13454                 | TOAST table | sakina_user
 pg_toast           | pg_toast_13459                 | TOAST table | sakina_user
 pg_toast           | pg_toast_13464                 | TOAST table | sakina_user
 pg_toast           | pg_toast_13469                 | TOAST table | sakina_user
 pg_toast           | pg_toast_1417                  | TOAST table | sakina_user
 pg_toast           | pg_toast_1418                  | TOAST table | sakina_user
 pg_toast           | pg_toast_16426                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16442                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16460                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16477                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16501                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16519                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16535                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16556                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16610                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16652                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16669                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16693                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16709                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16725                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16749                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16770                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16794                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16819                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16845                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16864                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16896                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16939                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16970                 | TOAST table | sakina_user
 pg_toast           | pg_toast_16987                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17005                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17054                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17076                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17109                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17122                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17145                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17170                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17196                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17225                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17256                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17289                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17314                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17341                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17356                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17393                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17411                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17424                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17455                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17469                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17485                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17511                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17537                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17556                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17582                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17602                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17623                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17640                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17674                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17695                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17719                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17743                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17756                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17774                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17788                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17806                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17819                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17831                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17844                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17855                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17869                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17883                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17905                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17921                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17939                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17959                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17978                 | TOAST table | sakina_user
 pg_toast           | pg_toast_17998                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18008                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18024                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18045                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18060                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18076                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18090                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18103                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18117                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18129                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18145                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18166                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18192                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18213                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18239                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18259                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18293                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18309                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18330                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18347                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18360                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18374                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18384                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18405                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18415                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18425                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18436                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18456                 | TOAST table | sakina_user
 pg_toast           | pg_toast_18473                 | TOAST table | sakina_user
 pg_toast           | pg_toast_2328                  | TOAST table | sakina_user
 pg_toast           | pg_toast_2396                  | TOAST table | sakina_user
 pg_toast           | pg_toast_2600                  | TOAST table | sakina_user
 pg_toast           | pg_toast_2604                  | TOAST table | sakina_user
 pg_toast           | pg_toast_2606                  | TOAST table | sakina_user
 pg_toast           | pg_toast_2609                  | TOAST table | sakina_user
 pg_toast           | pg_toast_2612                  | TOAST table | sakina_user
 pg_toast           | pg_toast_2615                  | TOAST table | sakina_user
 pg_toast           | pg_toast_2618                  | TOAST table | sakina_user
 pg_toast           | pg_toast_2619                  | TOAST table | sakina_user
 pg_toast           | pg_toast_2620                  | TOAST table | sakina_user
 pg_toast           | pg_toast_2964                  | TOAST table | sakina_user
 pg_toast           | pg_toast_3079                  | TOAST table | sakina_user
 pg_toast           | pg_toast_3118                  | TOAST table | sakina_user
 pg_toast           | pg_toast_3256                  | TOAST table | sakina_user
 pg_toast           | pg_toast_3350                  | TOAST table | sakina_user
 pg_toast           | pg_toast_3381                  | TOAST table | sakina_user
 pg_toast           | pg_toast_3394                  | TOAST table | sakina_user
 pg_toast           | pg_toast_3429                  | TOAST table | sakina_user
 pg_toast           | pg_toast_3456                  | TOAST table | sakina_user
 pg_toast           | pg_toast_3466                  | TOAST table | sakina_user
 pg_toast           | pg_toast_3592                  | TOAST table | sakina_user
