 schemaname |            tablename            | rowsecurity 
------------+---------------------------------+-------------
 public     | adhkar_categories               | f
 public     | adhkar_items                    | f
 public     | admin_actions                   | f
 public     | admin_audit_log                 | f
 public     | admin_permissions               | f
 public     | admin_roles                     | f
 public     | admin_users                     | f
 public     | answer_feedback                 | f
 public     | ask_sheikh_answer_citations     | f
 public     | ask_sheikh_answers              | f
 public     | ask_sheikh_audit_events         | f
 public     | ask_sheikh_categories           | f
 public     | ask_sheikh_questions            | f
 public     | audit_events                    | f
 public     | azan_audio_approvals            | f
 public     | azan_audio_assets               | f
 public     | blocked_questions               | f
 public     | charity_campaign_updates        | f
 public     | charity_campaigns               | f
 public     | charity_donation_intents        | f
 public     | charity_payment_provider_config | f
 public     | charity_transparency_logs       | f
 public     | chat_conversations              | f
 public     | chat_message_sources            | f
 public     | chat_messages                   | f
 public     | child_profiles                  | f
 public     | child_progress                  | f
 public     | child_safety_events             | f
 public     | children_game_attempts          | f
 public     | children_game_events            | f
 public     | children_game_profiles          | f
 public     | children_game_progress          | f
 public     | children_game_scenarios         | f
 public     | children_learning_paths         | f
 public     | children_profiles               | f
 public     | children_progress               | f
 public     | children_rewards                | f
 public     | children_safety_flags           | f
 public     | children_scenarios              | f
 public     | citation_registry               | f
 public     | consent_events                  | f
 public     | content_audit_log               | f
 public     | content_sources                 | f
 public     | data_processing_records         | f
 public     | deletion_requests               | f
 public     | deployment_audit_log            | f
 public     | device_registrations            | f
 public     | donation_audit                  | f
 public     | donation_intents                | f
 public     | dua_audio_assets                | f
 public     | dua_categories                  | f
 public     | dua_messages                    | f
 public     | dua_translations                | f
 public     | duas                            | f
 public     | family_accounts                 | f
 public     | family_members                  | f
 public     | feature_gap_reports             | f
 public     | feature_proposals               | f
 public     | generated_dev_tasks             | f
 public     | generated_test_plans            | f
 public     | guardian_settings               | f
 public     | hadith_books                    | f
 public     | hadith_collections              | f
 public     | hadith_grades                   | f
 public     | hadith_records                  | f
 public     | hadith_translations             | f
 public     | hijri_events                    | f
 public     | ibadat_answer_sources           | f
 public     | ibadat_answers                  | f
 public     | ibadat_audit_log                | f
 public     | ibadat_categories               | f
 public     | ibadat_questions                | f
 public     | ibadat_sources                  | f
 public     | improvement_signals             | f
 public     | integration_checks              | f
 public     | invoices                        | f
 public     | islamic_content_import_events   | f
 public     | islamic_content_import_jobs     | f
 public     | islamic_document_chunks         | f
 public     | islamic_documents               | f
 public     | islamic_ingestion_job_events    | f
 public     | islamic_ingestion_jobs          | f
 public     | islamic_rag_query_audit         | f
 public     | islamic_source_chunks           | f
 public     | islamic_source_documents        | f
 public     | islamic_source_embeddings       | f
 public     | islamic_source_registry         | f
 public     | islamic_source_review_status    | f
 public     | islamic_source_versions         | f
 public     | legislation_database            | f
 public     | library_categories              | f
 public     | library_downloads               | f
 public     | library_item_tags               | f
 public     | library_items                   | f
 public     | mobile_sessions                 | f
 public     | moderation_results              | f
 public     | notification_delivery_log       | f
 public     | notification_events             | f
 public     | notification_preferences        | f
 public     | notification_schedule           | f
 public     | notification_templates          | f
 public     | parent_controls                 | f
 public     | payment_customers               | f
 public     | payment_events                  | f
 public     | prayer_calculation_settings     | f
 public     | prayer_locations                | f
 public     | prayer_times                    | f
 public     | privacy_audit_log               | f
 public     | privacy_policy_versions         | f
 public     | privacy_requests                | f
 public     | proposal_approval_status        | f
 public     | proposal_votes                  | f
 public     | public_qa                       | f
 public     | push_notification_tokens        | f
 public     | quran_audio_assets              | f
 public     | quran_ayahs                     | f
 public     | quran_bookmarks                 | f
 public     | quran_surahs                    | f
 public     | quran_tafsir                    | f
 public     | quran_tafsir_notes              | f
 public     | quran_translations              | f
 public     | rag_answer_cache                | f
 public     | rag_chunks                      | f
 public     | rag_documents                   | f
 public     | rag_embeddings                  | f
 public     | rag_ingestion_jobs              | f
 public     | rag_policy_results              | f
 public     | rag_query_audit                 | f
 public     | rag_rejected_answers            | f
 public     | rag_retrieval_logs              | f
 public     | ramadan_tracking                | f
 public     | readiness_history               | f
 public     | reported_answers                | f
 public     | roles                           | f
 public     | safety_policies                 | f
 public     | sakina_answer_audit             | f
 public     | sakina_content_reports          | f
 public     | sakina_public_qa                | f
 public     | sakina_sheikh_answer_citations  | f
 public     | sakina_sheikh_answers           | f
 public     | sakina_sheikh_audit_log         | f
 public     | sakina_sheikh_profiles          | f
 public     | sakina_source_chunks            | f
 public     | sakina_source_documents         | f
 public     | sakina_user_questions           | f
 public     | sakina_users                    | f
 public     | sakina_verified_sources         | f
 public     | saved_answers                   | f
 public     | schema_migrations               | f
 public     | scholar_answer_sources          | f
 public     | scholar_answers                 | f
 public     | scholar_questions               | f
 public     | scholar_review_queue            | f
 public     | scholar_review_status           | f
 public     | scholar_reviewers               | f
 public     | self_improvement_audit_log      | f
 public     | source_approvals                | f
 public     | source_licenses                 | f
 public     | subscription_plans              | f
 public     | system_health_snapshots         | f
 public     | unsafe_answer_logs              | f
 public     | user_azan_preferences           | f
 public     | user_bookmarks                  | f
 public     | user_consents                   | f
 public     | user_delete_requests            | f
 public     | user_devices                    | f
 public     | user_favourite_duas             | f
 public     | user_library_bookmarks          | f
 public     | user_notifications              | f
 public     | user_policy_acceptance          | f
 public     | user_prayer_settings            | f
 public     | user_preferences                | f
 public     | user_profiles                   | f
 public     | user_reports                    | f
 public     | user_roles                      | f
 public     | user_sessions                   | f
 public     | user_subscriptions              | f
 public     | users                           | f
 public     | wasm_child_safety_audit         | f
 public     | wasm_citation_audit             | f
 public     | wasm_execution_logs             | f
 public     | wasm_modules                    | f
 public     | wasm_policy_audit               | f
 public     | wasm_policy_results             | f
 public     | wasm_rule_engine_audit          | f
 public     | worship_goals                   | f
 public     | worship_progress                | f
 public     | zakat_calculations              | f
 sakina_ai  | conversations                   | f
 sakina_ai  | messages                        | f
 sakina_ai  | waitlist                        | f
(191 rows)

