NAME                     STATUS   AGE
aia-dev                  Active   11d
aia-dev-monitoring       Active   11d
aia-dev-security         Active   11d
aia-dev-storage          Active   11d
ayosh                    Active   5d9h
ayosh-prod               Active   5d9h
cert-manager             Active   8d
default                  Active   11d
hermes-ai                Active   8d
hermes-data              Active   8d
hermes-monitoring        Active   8d
hermes-observability     Active   6d9h
hermes-prod              Active   8d
hermes-security          Active   8d
ingress-nginx            Active   5d
iterlaw-ai               Active   4d7h
iterlaw-api              Active   35h
iterlaw-monitoring       Active   35h
iterlaw-rag              Active   35h
iterlaw-security         Active   35h
jzi-prod                 Active   5d1h
kite-system              Active   6d19h
kube-node-lease          Active   11d
kube-public              Active   11d
kube-system              Active   11d
lawapp-ai                Active   3d13h
lawapp-api               Active   3d13h
lawapp-monitoring        Active   3d13h
lawapp-rag               Active   3d13h
lawapp-security          Active   3d13h
local-path-storage       Active   11d
ns-agent-admin-bot       Active   7d2h
ns-agent-ayosh           Active   6d9h
ns-agent-forensics-bot   Active   7d5h
ns-agent-jordan-bot      Active   6d19h
ns-agent-legal-bot       Active   6d9h
ns-agent-manager         Active   6d21h
ns-agent-palestine       Active   6d19h
ns-agent-palestine-bot   Active   6d18h
ns-agent-prof-urszula    Active   6d9h
ns-agent-research-bot    Active   7d3h
ns-agent-test-bot        Active   6d21h
ns-app-hermes            Active   7d5h
observability            Active   7d4h
openclaw                 Active   10d
openclaw-ai              Active   11d
opencode                 Active   10d
ordinox-agent-runtime    Active   4d22h
ordinox-edge             Active   5d
ordinox-logging          Active   7d6h
ordinox-monitoring       Active   7d6h
ordinox-terminal         Active   3d14h
ordinoxai-edge           Active   11d
ordinoxai-factory        Active   4d22h
ordinoxai-factory-dev    Active   4d17h
ordinoxai-prod           Active   11d
sakina                   Active   4d22h
sakina-api               Active   2d8h
sakina-audit             Active   2d8h
sakina-core              Active   2d8h
sakina-data              Active   2d8h
sakina-dev               Active   10d
sakina-ingress           Active   10d
sakina-mobile-staging    Active   4d7h
sakina-monitoring        Active   11d
sakina-prod              Active   11d
sakina-security          Active   10d
sakina-staging           Active   10d
supabase                 Active   11d
