# RLS rowsecurity flag per application table
 schemaname |         tablename         | rowsecurity 
------------+---------------------------+-------------
 outbox     | events                    | t
 public     | admin_audit_events        | t
 public     | audit_logs                | t
 public     | auth_identities           | t
 public     | auth_refresh_tokens       | t
 public     | auth_sessions             | t
 public     | chat_messages             | t
 public     | chat_threads              | t
 public     | module_lessons            | t
 public     | modules                   | t
 public     | notifications             | t
 public     | password_credentials      | t
 public     | rag_chunks                | t
 public     | rag_documents             | t
 public     | rag_embeddings            | t
 public     | sync_state                | t
 public     | user_module_progress      | t
 public     | user_profiles             | t
 public     | users                     | t
 sakina_ai  | agent_feedback            | t
 sakina_ai  | anonymous_learning_events | t
 sakina_ai  | ask_shaikh_answers        | t
 sakina_ai  | brain_cache_metadata      | t
 sakina_ai  | brain_decision_traces     | t
 sakina_ai  | brain_evaluation_results  | t
 sakina_ai  | brain_memory_events       | t
 sakina_ai  | conversations             | t
 sakina_ai  | islamic_chunks            | t
 sakina_ai  | islamic_documents         | t
 sakina_ai  | islamic_sources           | t
 sakina_ai  | knowledge_graph_edges     | t
 sakina_ai  | knowledge_graph_entities  | t
 sakina_ai  | local_sunni_topics        | t
 sakina_ai  | messages                  | t
 sakina_ai  | mobile_memory_sync        | t
 sakina_ai  | multimodal_assets         | t
 sakina_ai  | scholar_review_queue      | t
 sakina_ai  | user_habit_signals        | t
 sakina_ai  | user_interest_signals     | t
 sakina_ai  | user_learning_preferences | t
 sakina_ai  | user_memory_entries       | t
 sakina_ai  | user_memory_permissions   | t
 sakina_ai  | waitlist                  | t
 sakina_ai  | workspaces                | t
(44 rows)


# RLS summary: enabled vs total
 schemaname | rls_on | total 
------------+--------+-------
 outbox     |      1 |     1
 public     |     18 |    18
 sakina_ai  |     25 |    25
(3 rows)

